Notes	Vaccine Type	Vaccine Type Code	Symptoms	Symptoms Code	Events Reported
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	LACRIMATION INCREASED	10023644	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	LETHARGY	10024264	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	MEMORY IMPAIRMENT	10027175	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	PRODUCT STORAGE ERROR	10079843	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	PROTHROMBIN TIME PROLONGED	10037063	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	PRURITUS	10037087	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	PYREXIA	10037660	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	RESUSCITATION	10038749	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	RHINORRHOEA	10039101	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	SPEECH DISORDER	10041466	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	UNRESPONSIVE TO STIMULI	10045555	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	URINE ANALYSIS	10046614	1
Total	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)			36
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)"	FLUR4(SEASONAL)	AUTOPSY	10050117	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)"	FLUR4(SEASONAL)	DEATH	10011906	1
Total	"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)"	FLUR4(SEASONAL)			2
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	ABNORMAL BEHAVIOUR	10061422	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	ASPIRATION	10003504	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	AUTOPSY	10050117	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	COMPLETED SUICIDE	10010144	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	CYANOSIS	10011703	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	DEATH	10011906	2
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	PULSE ABSENT	10037469	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	RESUSCITATION	10038749	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	SYNCOPE	10042772	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)	UNRESPONSIVE TO STIMULI	10045555	1
Total	"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)"	FLU3(SEASONAL)			11
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	AREFLEXIA	10003084	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	ASTHENIA	10003549	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	DIARRHOEA	10012735	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	GUILLAIN-BARRE SYNDROME	10018767	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	IMMUNOGLOBULIN THERAPY	10069534	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	MECHANICAL VENTILATION	10067221	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	MUSCULAR WEAKNESS	10028372	1
	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)	NECK PAIN	10028836	1
Total	"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)"	FLUA3(SEASONAL)			8
	MENINGOCOCCAL B VACCINE	MENB	AUTOPSY	10050117	1
	MENINGOCOCCAL B VACCINE	MENB	BLOOD CULTURE NEGATIVE	10005486	1
	MENINGOCOCCAL B VACCINE	MENB	BRAIN DEATH	10049054	1
	MENINGOCOCCAL B VACCINE	MENB	BRAIN HERNIATION	10006126	1
	MENINGOCOCCAL B VACCINE	MENB	COMPUTERISED TOMOGRAM HEAD ABNORMAL	10072168	1
	MENINGOCOCCAL B VACCINE	MENB	CSF CULTURE NEGATIVE	10011528	1
	MENINGOCOCCAL B VACCINE	MENB	CSF TEST NORMAL	10059702	1
	MENINGOCOCCAL B VACCINE	MENB	HERPES SIMPLEX TEST NEGATIVE	10077970	1
	MENINGOCOCCAL B VACCINE	MENB	HIV TEST NEGATIVE	10020187	1
	MENINGOCOCCAL B VACCINE	MENB	LABORATORY TEST	10059938	1
	MENINGOCOCCAL B VACCINE	MENB	MALAISE	10025482	1
	MENINGOCOCCAL B VACCINE	MENB	POLYMERASE CHAIN REACTION	10050967	1
	MENINGOCOCCAL B VACCINE	MENB	POSTURING	10036437	1
	MENINGOCOCCAL B VACCINE	MENB	PYREXIA	10037660	1
	MENINGOCOCCAL B VACCINE	MENB	RESPIRATION ABNORMAL	10038647	1
	MENINGOCOCCAL B VACCINE	MENB	RESPIRATORY VIRAL PANEL	10075165	1
	MENINGOCOCCAL B VACCINE	MENB	SEIZURE	10039906	1
	MENINGOCOCCAL B VACCINE	MENB	VENTRICULAR DRAINAGE	10052947	1
	MENINGOCOCCAL B VACCINE	MENB	VOMITING	10047700	1
Total	MENINGOCOCCAL B VACCINE	MENB			19
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	BLOOD TEST	10061726	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	CARDIAC DISORDER	10061024	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	CHILLS	10008531	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	CONDITION AGGRAVATED	10010264	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	COUGH	10011224	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	DEATH	10011906	4
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	EYELID FUNCTION DISORDER	10061145	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	FEBRILE CONVULSION	10016284	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	PAIN IN EXTREMITY	10033425	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	PRODUCT STORAGE ERROR	10079843	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	PYREXIA	10037660	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	SNEEZING	10041232	1
	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV	URINE ANALYSIS	10046614	1
Total	"PNEUMOCOCCAL VACCINE, POLYVALENT"	PPV			16
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	ABNORMAL BEHAVIOUR	10061422	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	ANAPHYLACTOID REACTION	10002216	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	ASTHENIA	10003549	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	AUTOPSY	10050117	6
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	BLADDER CATHETERISATION	10005028	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	BLADDER DYSFUNCTION	10069632	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	BLOOD TEST	10061726	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	BRAIN DEATH	10049054	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CARDIAC ARREST	10007515	3
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CENTRAL VENOUS CATHETERISATION	10053377	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CHEST X-RAY NORMAL	10008500	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CHOKING	10008589	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	COMA	10010071	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	COMA SCALE ABNORMAL	10069709	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CONDITION AGGRAVATED	10010264	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	CYANOSIS	10011703	2
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	DEATH	10011906	16
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	DECREASED ACTIVITY	10011953	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	DECREASED APPETITE	10061428	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	DIARRHOEA	10012735	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	HEPATITIS A	10019719	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	HISTOLOGY	10062005	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	HOSPICE CARE	10067973	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	HYPERSOMNIA	10020765	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	IMMOBILE	10021417	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	INCORRECT ROUTE OF PRODUCT ADMINISTRATION	10081202	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	INFANTILE SPITTING UP	10063338	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	INFLUENZA VIRUS TEST NEGATIVE	10070718	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	INTENSIVE CARE	10022519	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	LABORATORY TEST	10059938	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	MALAISE	10025482	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	MECHANICAL VENTILATION	10067221	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	MENINGITIS	10027199	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	PNEUMONIA	10035664	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	PYREXIA	10037660	2
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	RESPIRATORY ARREST	10038669	3
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	RESUSCITATION	10038749	4
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	RETCHING	10038776	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	RIGHT VENTRICULAR HYPERTROPHY	10050326	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	SEIZURE LIKE PHENOMENA	10071048	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	SEPSIS	10040047	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	TOXICOLOGIC TEST	10061384	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	TRYPTASE INCREASED	10063342	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	UNRESPONSIVE TO STIMULI	10045555	3
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	URINARY TRACT INFECTION	10046571	1
	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13	VOMITING	10047700	1
Total	"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR13)"	PNC13			77
	POLIOVIRUS VACCINE INACTIVATED	IPV	BLOOD TEST	10061726	1
	POLIOVIRUS VACCINE INACTIVATED	IPV	DEATH	10011906	1
	POLIOVIRUS VACCINE INACTIVATED	IPV	EYELID FUNCTION DISORDER	10061145	1
	POLIOVIRUS VACCINE INACTIVATED	IPV	FEBRILE CONVULSION	10016284	1
	POLIOVIRUS VACCINE INACTIVATED	IPV	PYREXIA	10037660	1
	POLIOVIRUS VACCINE INACTIVATED	IPV	URINE ANALYSIS	10046614	1
Total	POLIOVIRUS VACCINE INACTIVATED	IPV			6
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	AUTOPSY	10050117	2
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	BLADDER CATHETERISATION	10005028	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	BLOOD TEST	10061726	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	BRAIN DEATH	10049054	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	BRAIN INJURY	10067967	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	CEREBRAL DISORDER	10054938	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	CHEST X-RAY NORMAL	10008500	2
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	CHOKING	10008589	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	COMPUTERISED TOMOGRAM NORMAL	10010236	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	CONDITION AGGRAVATED	10010264	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	CRYING	10011469	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	DEATH	10011906	3
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	ELECTROENCEPHALOGRAM ABNORMAL	10014408	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	EYE MOVEMENT DISORDER	10061129	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	EYE SWELLING	10015967	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	GASTROINTESTINAL TUBE INSERTION	10053050	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	GRUNTING	10018762	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	HYPERSOMNIA	10020765	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	INFLUENZA	10022000	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	INFLUENZA VIRUS TEST NEGATIVE	10070718	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	LOSS OF CONSCIOUSNESS	10024855	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	LUMBAR PUNCTURE NORMAL	10025002	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	MAGNETIC RESONANCE IMAGING BRAIN ABNORMAL	10083130	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	MALAISE	10025482	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	MECHANICAL VENTILATION	10067221	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	MEDICAL INDUCTION OF COMA	10070677	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	PYREXIA	10037660	3
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	RENAL FAILURE	10038435	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	RESPIRATORY ARREST	10038669	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	RETCHING	10038776	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	SEIZURE	10039906	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	SEPSIS	10040047	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	SUDDEN INFANT DEATH SYNDROME	10042440	1
	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1	VOMITING	10047700	1
Total	"ROTAVIRUS VACCINE, LIVE, ORAL "	RV1			40
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	ABNORMAL BEHAVIOUR	10061422	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	ANAPHYLACTOID REACTION	10002216	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	APNOEA	10002974	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	AUTOPSY	10050117	6
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	BLOOD GLUCOSE INCREASED	10005557	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	BODY TEMPERATURE DECREASED	10005910	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	BRADYCARDIA	10006093	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	BRAIN DEATH	10049054	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	CARDIAC ARREST	10007515	3
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	CRYING	10011469	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	CYANOSIS	10011703	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	DEATH	10011906	11
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	DECREASED ACTIVITY	10011953	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	DECREASED APPETITE	10061428	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	DIARRHOEA	10012735	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	EYE MOVEMENT DISORDER	10061129	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	HISTOLOGY	10062005	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	HYPERSOMNIA	10020765	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	HYPOTONIA	10021118	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	INCORRECT ROUTE OF PRODUCT ADMINISTRATION	10081202	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	INFANTILE SPITTING UP	10063338	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	INTENSIVE CARE	10022519	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	INTRAOSSEOUS ACCESS PLACEMENT	10081231	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	MECHANICAL VENTILATION	10067221	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	MENINGITIS	10027199	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	MUSCULOSKELETAL STIFFNESS	10052904	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	PULSE ABSENT	10037469	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	PYREXIA	10037660	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	RESPIRATORY ARREST	10038669	4
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	RESUSCITATION	10038749	4
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	RIGHT VENTRICULAR HYPERTROPHY	10050326	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	SCREAMING	10039740	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	SEIZURE	10039906	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	SEIZURE LIKE PHENOMENA	10071048	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	TOXICOLOGIC TEST	10061384	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	TRYPTASE INCREASED	10063342	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	ULTRASOUND DOPPLER ABNORMAL	10045413	1
	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5	UNRESPONSIVE TO STIMULI	10045555	2
Total	"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"	RV5			63
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	AUTOIMMUNE DISORDER	10061664	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	AUTOPSY	10050117	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	BLOOD TEST NORMAL	10050540	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	DEATH	10011906	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	DYSPHAGIA	10013950	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	DYSPNOEA	10013968	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	GASTROINTESTINAL DISORDER	10017944	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	HEADACHE	10019211	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	LACRIMATION DECREASED	10023642	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	NEURALGIA	10029223	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	PAIN	10033371	1
	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP	PALPITATIONS	10033557	1
Total	TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL)	TDAP			12
	ZOSTER VACCINE	VARZOS	ACUTE KIDNEY INJURY	10069339	1
	ZOSTER VACCINE	VARZOS	ACUTE MYOCARDIAL INFARCTION	10000891	1
	ZOSTER VACCINE	VARZOS	ALANINE AMINOTRANSFERASE INCREASED	10001551	1
	ZOSTER VACCINE	VARZOS	AMMONIA INCREASED	10001946	1
	ZOSTER VACCINE	VARZOS	ANXIETY	10002855	1
	ZOSTER VACCINE	VARZOS	ASCITES	10003445	1
	ZOSTER VACCINE	VARZOS	ASPARTATE AMINOTRANSFERASE INCREASED	10003481	1
	ZOSTER VACCINE	VARZOS	ATRIAL FIBRILLATION	10003658	1
	ZOSTER VACCINE	VARZOS	AUTOPSY	10050117	1
	ZOSTER VACCINE	VARZOS	BACTERAEMIA	10003997	1
	ZOSTER VACCINE	VARZOS	BLOOD ALBUMIN DECREASED	10005287	1
	ZOSTER VACCINE	VARZOS	BLOOD BILIRUBIN INCREASED	10005364	1
	ZOSTER VACCINE	VARZOS	BLOOD CALCIUM DECREASED	10005395	1
	ZOSTER VACCINE	VARZOS	BLOOD CREATINE PHOSPHOKINASE INCREASED	10005470	1
	ZOSTER VACCINE	VARZOS	BLOOD CREATININE INCREASED	10005483	1
	ZOSTER VACCINE	VARZOS	BLOOD CULTURE POSITIVE	10005488	1
	ZOSTER VACCINE	VARZOS	BLOOD IRON DECREASED	10005619	1
	ZOSTER VACCINE	VARZOS	BLOOD LACTATE DEHYDROGENASE INCREASED	10005630	1
	ZOSTER VACCINE	VARZOS	BLOOD POTASSIUM INCREASED	10005725	1
	ZOSTER VACCINE	VARZOS	BLOOD UREA INCREASED	10005851	1
	ZOSTER VACCINE	VARZOS	BLOOD URINE PRESENT	10018870	1
	ZOSTER VACCINE	VARZOS	BRAIN INJURY	10067967	1
	ZOSTER VACCINE	VARZOS	BUNDLE BRANCH BLOCK LEFT	10006580	1
	ZOSTER VACCINE	VARZOS	CARBON DIOXIDE DECREASED	10007223	1
	ZOSTER VACCINE	VARZOS	CARDIAC ARREST	10007515	1
	ZOSTER VACCINE	VARZOS	CARDIAC FAILURE CONGESTIVE	10007559	1
	ZOSTER VACCINE	VARZOS	CARDIOMEGALY	10007632	1
	ZOSTER VACCINE	VARZOS	CARDIOMYOPATHY	10007636	1
	ZOSTER VACCINE	VARZOS	CARDIOVERSION	10007661	1
	ZOSTER VACCINE	VARZOS	CHILLS	10008531	1
	ZOSTER VACCINE	VARZOS	CHOLELITHIASIS	10008629	1
	ZOSTER VACCINE	VARZOS	COMPLEMENT FACTOR C3 DECREASED	10050981	1
	ZOSTER VACCINE	VARZOS	COMPRESSION FRACTURE	10010214	1
	ZOSTER VACCINE	VARZOS	COMPUTERISED TOMOGRAM ABNORMAL	10010235	1
	ZOSTER VACCINE	VARZOS	CONFUSIONAL STATE	10010305	1
	ZOSTER VACCINE	VARZOS	CORONARY ARTERY DISEASE	10011078	1
	ZOSTER VACCINE	VARZOS	DEATH	10011906	8
	ZOSTER VACCINE	VARZOS	DEHYDRATION	10012174	1
	ZOSTER VACCINE	VARZOS	DELIRIUM	10012218	1
	ZOSTER VACCINE	VARZOS	DYSARTHRIA	10013887	1
